m15_n0.txt:10: misprediction rate:      ,11.30,%
m15_n1.txt:10: misprediction rate:      ,10.58,%
m15_n2.txt:10: misprediction rate:      ,10.13,%
m15_n3.txt:10: misprediction rate:      ,9.64,%
m15_n4.txt:10: misprediction rate:      ,9.13,%
m15_n5.txt:10: misprediction rate:      ,8.75,%
m15_n6.txt:10: misprediction rate:      ,8.30,%
m15_n7.txt:10: misprediction rate:      ,8.20,%
m15_n8.txt:10: misprediction rate:      ,8.22,%
m15_n9.txt:10: misprediction rate:      ,8.23,%
m15_n10.txt:10: misprediction rate:     ,8.46,%
m15_n11.txt:10: misprediction rate:     ,8.75,%
m15_n12.txt:10: misprediction rate:     ,9.01,%
m15_n13.txt:10: misprediction rate:     ,9.20,%
m15_n14.txt:10: misprediction rate:     ,9.48,%
m15_n15.txt:10: misprediction rate:     ,9.85,%
