m19_n0.txt:10: misprediction rate:,11.17,%
m19_n1.txt:10: misprediction rate:,10.42,%
m19_n2.txt:10: misprediction rate:,9.81,%
m19_n3.txt:10: misprediction rate:,9.13,%
m19_n4.txt:10: misprediction rate:,8.5,%
m19_n5.txt:10: misprediction rate:,7.99,%
m19_n6.txt:10: misprediction rate:,7.38,%
m19_n7.txt:10: misprediction rate:,7.05,%
m19_n8.txt:10: misprediction rate:,6.79,%
m19_n9.txt:10: misprediction rate:,6.61,%
m19_n10.txt:10: misprediction rate:,6.55,%
m19_n11.txt:10: misprediction rate:,6.5,%
m19_n12.txt:10: misprediction rate:,6.47,%
m19_n13.txt:10: misprediction rate:,6.5,%
m19_n14.txt:10: misprediction rate:,6.55,%
m19_n15.txt:10: misprediction rate:,6.66,%
m19_n16.txt:10: misprediction rate:,6.78,%
m19_n17.txt:10: misprediction rate:,6.9,%
m19_n18.txt:10: misprediction rate:,7.01,%
m19_n19.txt:10: misprediction rate:,7.18,%
