m13_n0.txt:10: misprediction rate: ,11.72,%
m13_n1.txt:10: misprediction rate: ,11.44,%
m13_n2.txt:10: misprediction rate: ,11.11,%
m13_n3.txt:10: misprediction rate: ,10.79,%
m13_n4.txt:10: misprediction rate: ,10.57,%
m13_n5.txt:10: misprediction rate: ,10.64,%
m13_n6.txt:10: misprediction rate: ,10.59,%
m13_n7.txt:10: misprediction rate: ,10.56,%
m13_n8.txt:10: misprediction rate: ,11.00,%
m13_n9.txt:10: misprediction rate: ,11.30,%
m13_n10.txt:10: misprediction rate:,11.68,%
m13_n11.txt:10: misprediction rate:,12.13,%
m13_n12.txt:10: misprediction rate:,12.68,%
m13_n13.txt:10: misprediction rate:,12.87,%
