m16_n0.txt:10: misprediction rate: ,11.21,%
m16_n1.txt:10: misprediction rate: ,10.52,%
m16_n2.txt:10: misprediction rate: ,9.93,%
m16_n3.txt:10: misprediction rate: ,9.34,%
m16_n4.txt:10: misprediction rate: ,8.77,%
m16_n5.txt:10: misprediction rate: ,8.42,%
m16_n6.txt:10: misprediction rate: ,7.89,%
m16_n7.txt:10: misprediction rate: ,7.58,%
m16_n8.txt:10: misprediction rate: ,7.57,%
m16_n9.txt:10: misprediction rate: ,7.49,%
m16_n10.txt:10: misprediction rate:,7.61,%
m16_n11.txt:10: misprediction rate:,7.72,%
m16_n12.txt:10: misprediction rate:,7.86,%
m16_n13.txt:10: misprediction rate:,8.08,%
m16_n14.txt:10: misprediction rate:,8.34,%
m16_n15.txt:10: misprediction rate:,8.56,%
m16_n16.txt:10: misprediction rate:,8.75,%
