m14_n0.txt:10: misprediction rate: ,11.37,%
m14_n1.txt:10: misprediction rate: ,10.76,%
m14_n2.txt:10: misprediction rate: ,10.42,%
m14_n3.txt:10: misprediction rate: ,10.04,%
m14_n4.txt:10: misprediction rate: ,9.69,%
m14_n5.txt:10: misprediction rate: ,9.41,%
m14_n6.txt:10: misprediction rate: ,9.08,%
m14_n7.txt:10: misprediction rate: ,9.16,%
m14_n8.txt:10: misprediction rate: ,9.34,%
m14_n9.txt:10: misprediction rate: ,9.57,%
m14_n10.txt:10: misprediction rate:,9.83,%
m14_n11.txt:10: misprediction rate:,10.09,%
m14_n12.txt:10: misprediction rate:,10.48,%
m14_n13.txt:10: misprediction rate:,10.90,%
m14_n14.txt:10: misprediction rate:,11.13,%
