m12_n0.txt:10: misprediction rate: ,12.47,%
m12_n1.txt:10: misprediction rate: ,12.04,%
m12_n2.txt:10: misprediction rate: ,12.20,%
m12_n3.txt:10: misprediction rate: ,12.09,%
m12_n4.txt:10: misprediction rate: ,12.23,%
m12_n5.txt:10: misprediction rate: ,12.50,%
m12_n6.txt:10: misprediction rate: ,12.46,%
m12_n7.txt:10: misprediction rate: ,12.70,%
m12_n8.txt:10: misprediction rate: ,13.00,%
m12_n9.txt:10: misprediction rate: ,13.74,%
m12_n10.txt:10: misprediction rate:,14.33,%
m12_n11.txt:10: misprediction rate:,14.83,%
m12_n12.txt:10: misprediction rate:,15.40,%
