m20_n0.txt:10: misprediction rate:,11.17,%
m20_n1.txt:10: misprediction rate:,10.42,%
m20_n2.txt:10: misprediction rate:,9.8,%
m20_n3.txt:10: misprediction rate:,9.12,%
m20_n4.txt:10: misprediction rate:,8.46,%
m20_n5.txt:10: misprediction rate:,7.96,%
m20_n6.txt:10: misprediction rate:,7.33,%
m20_n7.txt:10: misprediction rate:,6.97,%
m20_n8.txt:10: misprediction rate:,6.72,%
m20_n9.txt:10: misprediction rate:,6.53,%
m20_n10.txt:10: misprediction rate:,6.44,%
m20_n11.txt:10: misprediction rate:,6.37,%
m20_n12.txt:10: misprediction rate:,6.37,%
m20_n13.txt:10: misprediction rate:,6.4,%
m20_n14.txt:10: misprediction rate:,6.39,%
m20_n15.txt:10: misprediction rate:,6.45,%
m20_n16.txt:10: misprediction rate:,6.56,%
m20_n17.txt:10: misprediction rate:,6.65,%
m20_n18.txt:10: misprediction rate:,6.79,%
m20_n19.txt:10: misprediction rate:,6.91,%
m20_n20.txt:10: misprediction rate:,7.04,%
